230	Repeat count	stage.repeatCount
231	Placement action	stage.placementAction
232	Finish action	stage.finishAction
233	Move stage up	stage.moveUp
234	Move stage down	stage.moveDown
235	Remove stage	stage.remove
236	Add stage	stage.add
237	Unknown	issue.symptom.unknown,issue.cause.unknown
238	Color shift	issue.symptom.color_shift
239	Ghosting	issue.symptom.ghosting
240	Edge lift	issue.symptom.edge_lift
241	Adhesion	issue.symptom.adhesion
242	Scorch	issue.symptom.scorch
243	Alignment	issue.symptom.alignment
244	Incomplete transfer	issue.symptom.incomplete_transfer
245	Uneven heat or pressure	issue.symptom.uneven_heat_pressure
246	Moisture	issue.symptom.moisture,issue.cause.moisture
247	Transfer shift	issue.symptom.transfer_shift
248	Contamination	issue.symptom.contamination
249	Substrate defect	issue.symptom.substrate_defect
250	Design setup	issue.symptom.design_setup
251	Print supply	issue.symptom.print_supply
252	Equipment or power	issue.symptom.equipment_power,issue.cause.equipment_power
253	Interrupted	issue.symptom.interrupted
254	Other	issue.symptom.other,issue.cause.other
255	Heat	issue.cause.heat
256	Time	issue.cause.time
257	Transfer	issue.cause.transfer
258	Substrate	issue.cause.substrate
259	Design	issue.cause.design
260	Printer, ink, or paper	issue.cause.printer_ink_paper
261	Operator interruption	issue.cause.operator_interruption
262	Discard unstarted run	run.discardUnstarted
263	Discard this unstarted run? No batch record will be created.	run.discardUnstartedConfirm
264	Enter a valid number.	error.invalidNumber
265	Issue quantities must cover all reworked and waste units.	error.issueCoverage
266	Select or create a machine before continuing.	error.machineRequired
267	Select or create a production setup before continuing.	error.setupRequired
268	Finish or release the current reserved run before changing this record.	error.activeRunConflict
269	The run is not in the required state for that action.	error.runState
270	Local storage needs recovery before this action can continue.	error.storageRecovery
271	The backup could not be verified or restored.	error.backupRestore
272	Repeat	stage.repeat
273	Proven means qualifying operator-entered runs for this exact setup. It is not manufacturer validation, certification, or a safety determination.	setup.provenBoundary
274	Text size	accessibility.textSize
275	Managed in iOS Settings	accessibility.systemManaged
276	Reduce Motion	accessibility.reduceMotion
277	Differentiate Without Color	accessibility.differentiateWithoutColor
278	Enabled	accessibility.enabled
279	Disabled	accessibility.disabled
280	Open iOS Settings	accessibility.openSettings
281	Delete Local Data	settings.deleteLocalData
282	This permanently deletes machines, setups, runs, and local settings from this device. Your App Store purchase is not deleted.	settings.deleteLocalDataMessage
283	How is this job different?	run.jobDifference
284	Exact repeat	run.exactRepeat
285	Same product variant	run.sameProductVariant
286	Materially different	run.materiallyDifferent
287	Finish run	run.finishRun
288	Next item	run.nextItem
289	You have reached the free limit. Unlock Pro to continue.	error.freeLimit
290	Sign in failed. Your local data is unchanged.	backup.signInFailed
291	Makes one test item and records the result before production.	run.mode.test.help
292	Runs the planned production quantity.	run.mode.production.help
293	Tap the count as each item is completed.	run.progress.live.help
294	Enter the completed total when the run ends.	run.progress.final.help
295	Use the same material, transfer, machine, and process.	run.reuse.exactRepeat.help
296	Use the same process for a different size, color, or quantity.	run.reuse.sameProductVariant.help
297	Create a new setup because the process or materials changed.	run.reuse.materiallyDifferent.help
298	Discard unsaved changes?	editor.discardChanges
299	Discard changes	editor.discard
300	Process settings are locked for this variant.	setup.processLocked
301	Advanced process settings	setup.advanced
302	Complete the required setup fields to continue.	setup.completeRequired
303	Test runs make one item.	run.testQuantityHelp
304	Unlock PressBench Pro	upgrade.title
305	Save more setups and runs, and export PDF or XLSX reports.	upgrade.body
306	Unlock Pro	upgrade.unlock
307	Restore purchase	upgrade.restore
308	Back up your data	backup.optionalTitle
309	Sign in with Apple to back up and restore your PressBench data. This is optional.	backup.optionalBody
310	Continue without signing in	backup.continueWithout
311	Complete all required checks to continue.	onboarding.completeChecks
312	Edit	common.edit
313	Archive setup	setup.archive
314	More	common.more
315	Back up now	backup.backupNow
316	Restore backup	backup.restore
317	Sign out	backup.signOut
318	Restoring replaces the current local data on this device.	backup.restoreReplaces
319	Rolling back replaces the restored data with the previous local data.	backup.rollbackWarning
320	Repeat this setup	run.repeatSetup
321	Correct record	run.correctRecord
322	Delete record	run.deleteRecord
323	Reason for correction	run.correctionReason
324	Archive machine	machine.archive
325	Complete the timer before continuing.	run.completeTimerFirst
326	Last successful backup	backup.lastSuccessful
327	Permanently delete “%1$@”? This cannot be undone.	run.deleteRecordConfirm
